,image_id,ques_id,question,answer,answer,answer,answer,answer,answer,answer,answer,answer,answer
34,131084,131084002,What is the man riding on?,motorbike,motorcycle,dirt bike,motorbike,motorcycle,dirt bike,motorcycle,motocross bike,motorcycle,dirt bike
35,131074,131074000,What is on the pillow?,pillow sham,frills,pillow case,pillowcases,nothing,gray,note,cover,paper,sign
36,131074,131074001,How many pieces of furniture which are used for sleeping are featured in this picture?,2,2,2,2,2,2,2,2,2,2
37,131074,131074002,Are the walls done in a summery color?,no,yes,yes,yes,no,no,yes,yes,yes,yes
38,131074,131074003,Is the curtain patterned?,no,no,no,yes,no,no,no,yes,yes,no
39,131074,131074004,What is sitting on the bench?,purse,purse,purse,handbag,purse,purse,purse,purse,purse,purse
40,131074,131074005,Are the windows the same size?,yes,no,yes,yes,yes,no windows,yes,no,yes,yes
41,393230,393230000,What is this person doing?,skiing,skiing,skiing,skiing,snow ski,skiing,skiing,skiing,skiing,skiing
42,393230,393230001,How many people are in this image?,1,1,1,1,1,1,1,there is 1 person in this image,1,1
43,393230,393230002,Is there a shadow of a tree in the foreground?,no,no,no,no,no,no,no,no,no,no
44,393230,393230003,What is the man doing?,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing,skiing
45,393230,393230004,What color is the sky?,blue and white,gray,gray,gray,gray,gray,gray,gray,gray,gray
46,393230,393230005,What is the person wearing?,ski clothes,clothes,ski clothes,skis,clothes,snowsuit,ski pants and jacket,helmet,blue jacket and black pants,skis
47,393230,393230006,Did someone forget his luggage in the snow?,no,no,no,no,no,no,no,no,no,no
48,393230,393230007,What color is his coat?,blue,blue,blue,blue,blue,blue,blue,blue,blue,blue and white
49,393230,393230008,Is it daytime?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
50,393230,393230009,What is she holding?,poles,ski poles,poles,skis,ski poles,ski pole,pole,poles,poles,poles
51,393230,393230010,Is the person wearing a hat?,no,yes,no,yes,no,yes,no,no,no,yes
52,131087,131087000,What is the dog riding on?,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,surfing
53,131087,131087001,Is the dog wearing a collar?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
54,131087,131087002,Is it a clear day?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
55,131087,131087003,Is there a body of water here?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
56,131087,131087004,What is in the water?,dog on surfboard,dog on surfboard,dog and surfboard,dog on surfboard,surfboard,surfboard,surfboard and dog,dog,dog,dog
57,131075,131075000,"What does the green light, on the TV, indicate?",it's turned on,background,on,background,powered on,it is on,it's color of screen,off,on,power
58,131075,131075001,Is the light on?,no,no,no,no,no,yes,no,no,no,no
59,131075,131075002,What room of the house is this?,office,bedroom,office,conference room,office,living room,living room,big,family room,office
60,131075,131075003,What is the size of the TV?,50 inch,40 inch,20 feet,large,36,100 inches,75 inch,it's projector,large,60 inches
61,131075,131075004,Is the room messy?,no,no,no,no,no,no,no,no,no,no
62,131075,131075005,Is this a TV screen?,yes,yes,no,no,no,yes,yes,yes,no,yes
63,131075,131075006,How big is the TV?,big,very,very big,very big,very big,46 inches,gigantic,very big,20 in,large
64,131075,131075007,What companion object to the TV can be seen in the bottom right of the picture?,laptop,computer,laptop,laptop,laptop,laptop,laptop,remote,remote,computer
65,131075,131075008,What is the small computer on the left called?,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,laptop,projector
66,131075,131075009,What is above the TV?,vent,vent,vent,ceiling,air duct,tiles,ceiling,ceiling,vent,ceiling
67,131075,131075010,What is on the display?,document,outlook,word document,word document,document,overhead presentation,website,web page,na,laptop screen
68,131075,131075011,Is there a laptop in the image?,yes,yes,yes,yes,yes,yes,yes,no,yes,no
69,131075,131075012,Is it a monitor or a screen projection?,yes,screen projection,screen projection,monitor,screen projection,screen projection,monitor,screen projection,screen projection,screen projector
70,131075,131075013,What is on the TV screen?,ms word,outlook,document,document,mirrored computer,computer,outlook web app,computer,desktop screen,desktop
71,131075,131075014,What is the title of the presentation in the picture?,outlook web app,outlook web app,outlook web app,flight markup,outlook,design,can't see,business,extend with app,can't tell
72,137045,137045000,What color is the bear?,black,black,black,black,black,black,black,black,black,black
73,137045,137045001,Is the animal a mammal?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
74,137045,137045002,What is this?,bear,bear,bear,bear,bear,bear,bear,bear,bear,bear
75,131093,131093000,Are there rocks in the picture?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
76,131093,131093001,Has the sheep recently been shaved?,no,0,no,no,no,no,no,no,no,no
77,131093,131093002,How many sheeps are this?,3,3,3,3,3,0,3,3,3,3
78,131093,131093003,Are there three sheep?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
79,524311,524311000,What is the man playing?,wii,wii,wii,x box,wii,wii,wii,wii,game,wii
80,524311,524311001,Is the man having a good time?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
81,524311,524311002,What does the man have on his face?,glasses,glasses,glasses,glasses,smile,sweat,glasses,eyeglasses,glasses,glasses
82,25,25000,What is in front of the giraffes?,tree,tree,tree,tree,tree,tree,tree,tree,trees,trees
83,25,25001,What do these giraffes have in common?,height,long neck,spots,they are tall,eating,eating,eating,eating,they're animals,tall
84,25,25002,Could this photo be from a zoo?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
85,25,25003,Are the animals eating?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
86,25,25004,Where is the giraffe?,by tree,africa,by tree,near tree,zoo,near tree,beside tree,yes,near tree,outside
87,25,25005,Is there a zebra?,no,no,no,no,no,no,no,no,no,no
88,25,25006,What is the giraffe standing behind?,tree,tree,fallen tree,tree,tree,log,trees,log,log,tree
89,25,25007,Is the giraffe eating the tree?,yes,yes,no,yes,yes,yes,yes,no,yes,yes
90,25,25008,Are both giraffes standing?,yes,no,no,no,2,no,yes,no,no,yes
91,25,25009,Are they at a zoo?,yes,yes,no,yes,yes,no,no,yes,no,yes
92,25,25010,What is on the ground next to the giraffe on the right?,log,dead tree,log,log,tree,log,log,tree,trees,tree trunk
93,25,25011,Are some of the trees dead?,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
94,25,25012,Are any of the animals eating?,yes,yes,yes,yes,yes,yes,yes,1,yes,yes
95,25,25013,Is the giraffe in the shade?,no,no,no,no,no,no,no,no,no,no
96,25,25014,Are these giraffes living free range?,no,yes,yes,yes,yes,no,no,no,no,yes
97,25,25015,How many giraffes are there?,2,2,2,1,2,1,2,2,2,2
98,25,25016,Is there a rock near the giraffe?,no,no,no,no,no,no,no,no,no,no
99,25,25017,How many animals are in this photo?,2,2,i can see total of 2 animals,2,giraffe,2,2,2,2,2
100,524314,524314000,Why is the man on the street?,homeless,homeless,begging,homeless,he is homeless,homeless,resting,homeless,homeless,sitting
101,524314,524314001,How is the man sitting?,cross legged,cross legged,cross legged,indian style,indian style,indian style,legs folded,cross legged,cross-legged,cross legged
102,524314,524314002,"What does the word in the upper-left corner, behind the window, translate to in English?",automatic,automatique,automatic,automatic,automatic,atm,automation,automatic,automatic,automate
103,262171,262171000,How many people are on the boat?,5,7,6,9,5,5,5,6,6,5
104,262171,262171001,What color are the leaves?,green,green,green,green,green,green,green,green,green,green
105,262171,262171002,What type of watercraft is that?,raft,raft,platoon,raft,raft,boat,rubber raft boat,boat,boat,raft
106,262172,262172000,Where are the two blue coolers?,backpacks,bottom left,left corner,in left hand corner of photo,left,yes,behind chair,behind boxes,left,by boxes
107,262172,262172001,What kind of room is this?,family room,living room,living room,den,playroom,main room,living room,storage room,living room,living room
108,262172,262172002,Are they moving?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
109,131101,131101000,What color is the umbrella?,pink,pink and white,pink,pink and white,pink,pink,pink and white,pink and lavender and white,pink,red
110,131101,131101001,Is this man angry?,no,no,no,yes,no,no,no,no,no,yes
111,131101,131101002,Which hand holds the umbrella?,right,right,right,right,right,right,right,right,right,right
112,30,30000,Are there flowers in the vase?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
113,30,30001,What is the vase sitting on?,railing,fence,railing,ledge,wall border,ledge,railing,porch ledge,patio ledge,wall
114,30,30002,Is the sun to the right or left of this flower?,right,not possible,left,left,left,left,left,right,left,no
115,30,30003,Are the flowers open?,no,yes,yes,yes,no,no,yes,yes,no,some
116,30,30004,What color is the vase?,white,white,white,white,white,white,white,white,white,white
117,30,30005,Are all the flowers white?,no,no,no,no,no,no,yes,no,no,no
118,524320,524320000,Is the man standing on both foot?,yes,no,no,no,yes,yes,no,no,no,no
119,524320,524320001,Was this picture likely taken recently?,yes,no,yes,no,no,no,no,maybe,yes,no
120,524320,524320002,Do the gentleman's socks match his shoes and belt?,no,no,yes,no,no,no,no,no,no,no
121,240304,240304000,What is the zebra eating?,grass,grass,grass,grass,grass,grass,grass,grass,grass,yes
122,240304,240304001,Are the zebras facing the same direction?,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
123,240304,240304002,What is the tree covered with?,fencing,mesh,leaves,wire fence,fence,wire mesh,fence,wire,leaves,wire
124,34,34000,Is this a horse?,no,no,no,no,no,no,no,no,no,no
125,34,34001,What is the animal eating?,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
126,34,34002,How old is animal?,2 years,young,adult,3 years old,10 years,2,10 years,2,20,10 years
127,393251,393251000,Are they drinking wine at the child's party?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
128,393251,393251001,Is the man wearing glasses?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
129,393251,393251002,What is the man holding?,knife,knife,knife,knife,knife,knife,nothing,knife,knife,knife
130,393251,393251003,What is the man cutting?,birthday cake,cake,cake,cake,cake,cake,cake,cake,yes,cake
131,262180,262180000,What is the fruit?,banana,banana,banana's,banana,caramel,banana,banana,banana,banana's,bananas
132,262180,262180001,Is this a good dessert?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
133,262180,262180002,What is the name of the type of person that would make this food?,chef,chef,chef,pastry chef,chef,chef,chef,chef,pastry chef,chef
134,262180,262180003,What type of ice cream is on the plate?,vanilla,vanilla,vanilla,vanilla,fruit salad,vanilla,vanilla,banana,vanilla,banana
135,524325,524325000,How many people are wearing shorts in the forefront of this photo?,4,4,4,4,4,4,4,4,4,4
136,524325,524325001,Is this an indoor or outdoor photo?,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor
137,524325,524325002,Are those kites in the air?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
138,43697,43697000,Is this a hot dog?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
139,43697,43697001,What color is the napkin?,white,white,white,white,white,white,white,white,white,white
140,43697,43697002,Is there ketchup on the hot dog?,no,no,no,no,no,no,no,no,no,no
141,43697,43697003,Has this hot dog been grilled?,no,yes,no,no,no,no,no,no,yes,no
142,43697,43697004,Have you tried a hot dog like this before?,yes,yes,yes,no,yes,no,yes,yes,yes,yes
143,43697,43697005,What's missing from this hot dog?,nothing,mustard,mustard,mustard,toppings,mustard,condiments,mustard,mustard,sauce
144,43697,43697006,What is the hog dog sitting on?,bun,bun,napkin,napkin,napkin,bun,buns,pita bread,bun,bun
145,262184,262184000,Is this a toy-sized truck?,no,no,no,no,no,no,no,no,no,no
146,262184,262184001,What is the sky full of?,clouds,clouds,clouds,clouds,clouds,clouds,clouds,clouds,clouds,cloud
147,262184,262184002,Where are the trucks?,on dock,dock,dock,on dock,pier,dock,no trucks shown,outside,forklifts,by water
148,131113,131113000,What is the color of the carpet?,brown,brown and tan,brown,brown,red,tan,brown and white,brown,no carpet,red
149,131113,131113001,Is there a carpet on the floor?,yes,no,no,yes,yes,no,yes,no,yes,no
150,131113,131113002,What color is the refrigerator?,silver,silver,stainless steel,silver,silver,silver,silver,silver,silver,silver
151,131113,131113003,What is this device?,refrigerator,refrigerator,refrigerator,fridge,refrigerator,refrigerator,ref,fridge,light switch,light switch
152,262187,262187000,Is this plane landing?,no,no,no,no,yes,no,no,yes,no,no
153,262187,262187001,What color is the plane?,red,red and silver,red,red,red,red and silver,red white and black,red,orange and silver,red and white
154,262187,262187002,What shape are the windows on the side of the plane?,squares,rectangle,square,rectangles,round,r square,square,square,square,square
155,262187,262187003,Is the plane taking off?,no,yes,no,no,no,no,no,no,no,yes
156,131118,131118000,Are these airliners?,no,no,yes,yes,yes,yes,no,yes,yes,yes
157,131118,131118001,How many planes are in the picture?,2,2,2,2,2,2,2,2,2,5
158,131118,131118002,Are this cargo planes?,no,yes,yes,no,no,yes,yes,yes,yes,no
159,262191,262191000,Is this bear a normal size?,yes,yes,yes,no,no,no,yes,no,no,no
160,262191,262191001,What is the website on the sign?,yes,wmatacom,wmatacom,wmatacom,wmatacom,yes,wmatacom,wmatacom,wmatacom,wmatacom
161,262191,262191002,What is the bear called?,teddy bear,teddy bear,teddy,teddy,teddy,teddy,teddy,teddy,teddy bear,teddy bear
162,49,49000,Is there a flower arrangement on the lawn?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
163,49,49001,What color horse is closer to the camera?,black,black,black,black,black,black,black,brown one,black,black
164,49,49002,Are they playing polo?,no,no,yes,no,no,no,no,yes,no,yes
165,524338,524338000,How many trees are in this photo?,3,3,4,5,3,3,3,3,1,4
166,524338,524338001,What type of tree is the man standing next to?,elm,elm,maple,not sure,birch,trunk,big one,unknown,oak,big one
167,524338,524338002,Is this man reading a cell phone screen?,no,no,no,no,no,no,no,no,no,no
168,213863,213863000,What pattern is on the pants?,stripes,stripped,stripes,stripes,stripes,stripes,stripes,pinstripes,stripes,stripes
169,213863,213863001,What sport is this person playing?,baseball,baseball,baseball,baseball,baseball,baseball,baseball,baseball,baseball,baseball
170,213863,213863002,What is the position of the player behind the batter called?,catcher,catcher,catcher,umpire,hitting ball,catcher,catcher,catcher,catcher,catcher
171,393268,393268000,What color is the girl's shirt?,blue,blue,blue,blue,blue,light blue,light blue,blue,blue,blue
172,393268,393268001,What are they drinking?,beer,beer,beer,beer,beer,beer,beer,beer,water,beer
173,393268,393268002,What brand of beer is visible?,pail,pau,can't see,unclear,can't tell,coors,budweiser,ipa,sierra nevada,heineken
174,131126,131126000,Where is Brooklyn Avenue?,crosses athol ave,new york,corner of athol ave,bottom,can't tell,700 block,bottom,not sure,700,crossing athol ave
175,131126,131126001,Which direction is Brooklyn Ave?,left and right,left or right,north,north,left,north,across,left,right,left to right
176,131126,131126002,Is there a stop sign in the picture?,no,yes,no,no,yes,no,yes,yes,yes,no
177,131127,131127000,What logo is on the man's shirt?,nike,nike swoosh,nike,nike,nike,nike,nike swoosh,nike,livestrong,nike
178,131127,131127001,Is the man unhappy?,no,no,no,no,no,no,no,no,no,no
179,131127,131127002,Are the men going to share the bananas?,no,no,no,yes,no,yes,yes,no,no,no
180,131128,131128000,What color are the flowers?,yellow,yellow and white,yellow and white,yellow and white,yellow white,yellow and white,yellow and white,yellow and white,"white, yellow","white, yellow"
181,131128,131128001,What colors are the flowers?,yellow white,"white, yellow, peach","orange, white, and yellow",yellow and white,yellow and white,yellow and white,yellow and white,"yellow white, and orange",white and yellow,"yellow, white and orange"
182,131128,131128002,How many flowers are painted on the vase?,3,3,3,3,3,3,3,6,3,2
183,131128,131128003,Do the painted flowers match the real ones?,no,no,no,no,no,no,no,yes,no,no
184,262201,262201000,Where is the bird?,on cliff,precipice,mountain,on ledge,cliff,in middle,sitting on rock,on rock,on cliff,crow
185,262201,262201001,Will the birds go into the water?,no,no,no,no,no,no,no,no,no,yes
186,262201,262201002,What direction is the bird looking?,right,sideways,east,right,right,right,right,right,right,right
187,262201,262201003,Is this bird afraid of the ledge?,no,no,no,no,no,no,no,no,no,no
188,370986,370986000,What time of day is it?,midday,noon,noon,morning,afternoon,mid-day,afternoon,morning,morning,midday
189,370986,370986001,How many elephants are in the water?,2,2,1,2,2,2,3,2,2,2
190,370986,370986002,How many tails can you see in this picture?,3,3,3,3,3,3,3,3,3,3
191,262204,262204000,How many tusks are visible?,2,2,2,2,2,2,2,2,2,2
192,262204,262204001,What is this animal?,elephant,elephant,elephant,elephant,elephant,elephant,elephant,elephant,elephant,elephant
193,262204,262204002,What color is the animal?,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray
194,131133,131133000,What color is the plane?,red and white,red and white,red and white,orange,red,red,red and white,red and white,red and white,red
195,131133,131133001,What type of plane is this?,small,smaller propeller plane,propeller,propeller,private,don't know,single propeller plane,propeller,small personal plane,biplane
196,131133,131133002,Are the mountains high?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
197,262207,262207000,What color are the seats?,brown,gray brown,beige,tan,tan,tan,juniper green,gray,beige,brown
198,262207,262207001,Is there a person standing in front of the television?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
199,262207,262207002,Where is the mirror?,on wall,on wall,wall,wall,right upper corner,left side,wall,right of window,wall,wall
200,262207,262207003,Is there enough room under the armchairs for a cat to hide?,yes,yes,no,no,yes,no,yes,no,yes,yes
201,64,64000,Who made the cock?,rolex,factory,rolex,rolex,rolex,man,rolex,rolex,people,rolex
202,64,64001,Are there numbers on the clock face?,no,no,yes,no,roman numerals,yes,no,yes,no,yes
203,64,64002,Is there a big tree behind the clock?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
204,64,64003,What is in the picture?,clock,clock,street and its surroundings,"clock,trees,car,building,street,signs",clock,clock,clock,"clock, tree",clock,clock
205,64,64004,What time is the clock showing?,6:10,6:10,2:30,6:30,6:10,6:10,6:10,6 :10,6:10,8:30
206,458763,458763000,What are the vases sitting on?,table,table,table,table,table,table,desk,sideboard,table,table
207,458763,458763001,How many trees on the table?,3,3,3,3,3,3,3,3,3,3
208,458763,458763002,How many horns are in the picture?,0,0,0,1,1,0,1,0,0,1
209,458763,458763003,What color is the middle vase?,blue,blue,blue,green,blue,blue,blue,blue,blue,blue
210,458763,458763004,What is the table made of?,wood,wood,wood,wood,wood,wood,wood,woo,wood,wood
211,458763,458763005,What kind of trees are on the table?,christmas,christmas trees,christmas,wooden,christmas,pine,christmas,christmas,christmas,christmas trees
212,458763,458763006,Is this a wedding?,no,no,no,no,no,no,no,no,no,no
213,567990,567990000,What is the green stuff on this pizza?,spinach,spinach,broccoli,spinach,spinach,spinach,spinach,kale,spinach,broccoli
214,567990,567990001,Does the crust look burnt?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
215,567990,567990002,Is it thick or thin crust?,thick,thin,thick,thick,thick,thick,thick,thick crust,thick,thick
216,567990,567990003,Does this pizza have a deep dish crust?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
217,393286,393286000,Is the banana freshly peeled?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
218,393286,393286001,Is the banana closed?,no,no,no,no,no,no,no,no,no,no
219,393286,393286002,What is the orange thing?,cushion,pouch,bag,bag,bag,bag,lunch pack,bag,bag,bag
220,71,71000,Does this photo show train tracks?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
221,71,71001,Does this train work?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
222,71,71002,Is this train headed towards or from the orange building?,from,away from,from,from,from,from,from,away,from,from
223,72,72000,How many Giraffes are in this image?,2,2,2,2,2,2,2,3,2,2
224,72,72001,What is the giraffe eating?,2,leaves,leaves,leaves,grass,leaves,leaves,leaves,tree branches,leaves
225,72,72002,Are the giraffes under the trees?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
226,393228,393228000,Are there 3 elephants?,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
227,393228,393228001,Are all of the elephants full grown?,no,no,no,no,no,no,no,no,no,no
228,393228,393228002,Are the elephants in the jungle?,yes,yes,yes,yes,yes,yes,yes,no,no,yes
229,393290,393290000,What is on the woman's neck?,necklace,necklace,nothing,neck chain,necklace,necklace,necklace,necklace,necklace,necklace
230,393290,393290001,Is the woman eating the pizza?,no,no,yes,no,no,yes,yes,yes,no,no
231,393290,393290002,How many stairs are there?,8,6,6,7,6,6,7,7,6,7
232,393291,393291000,Where is the sink located?,countertop,bathroom,left,bathroom,counter,on counter,bathroom,on left side,left wall,left
233,393291,393291001,Where is the soap?,shower,shower,shower,shower,in shower,shower,on vanity,in shower,in shower,in shower
234,393291,393291002,What color is the window frame?,yellow,white,clear,white,white,white,white,yellow,blocks,silver
235,393291,393291003,What item is folded up and sitting on the edge of the shower stall?,rug,rug,rug,towel,towel,towel,bath mat,towel,towel,rug
236,393291,393291004,What pattern is on the shower curtain?,vinyl,plain,solid,solid,solid color,solid color,solid,stripes,solid,solid
237,393291,393291005,What are the colors of the countertop?,brown,tan,brown,brown,brown,tan,orange,orange,brown,brown
238,393291,393291006,Are there any reflections in this picture?,mirrors,no,yes,no,no,no,no,no,no,no
239,393291,393291007,How many windows are there?,3,2,0,3,3,3,2,3,3,3
240,393292,393292000,Is the water on?,no,no,no,no,no,no,no,no,no,no
241,393292,393292001,Is this photo outdoors?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
242,393292,393292002,How many birds are in the sink?,1,1,2,1,1,2,2,2,2,2
243,262221,262221000,What is the person on the right called?,chair umpire,referee,referee,referee,referee,umpire,referee,chair umpire,referee,referee
244,262221,262221001,Whose logo is on the official's chair?,wimbledon,wilson,wilson,wilson,wilson,wilson,wilson,w=wilson,wilson,wilson
245,262221,262221002,How many tennis players are in the photo?,1,1,1,1,1,1,1,1,1,2
246,78,78000,Are the clock and owl made in the same artistic fashion?,yes,no,yes,no,no,no,no,no,no,no
247,78,78001,Is that owl a candle?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
248,78,78002,What time does the clock say?,12:40,8:00,8:00,8:00,8:00,8,8:00,8:00,8 o clock,8:00
249,81,81000,Does this planes tail have 4 colors?,no,no,no,no,yes,yes,no,no,3,no
250,81,81001,Is this plane landing?,no,no,no,no,no,no,yes,yes,no,no
251,81,81002,Is this plane taking off?,no,yes,no,yes,yes,already flying,no,no,no,yes
252,81,81003,What is the last letter over the plane?,e,e,e,e,e,e,e,e,e,e
253,81,81004,Are these wings strong?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
254,86,86000,Is that a bicycle?,no,yes,yes,no,yes,no,yes,yes,no,yes
255,86,86001,What is the number on the mailbox?,94,24,24,24,24,24,94,24,24,24
256,86,86002,What is this person wearing on head?,hat,helmet,helmet,hat,helmet,hat,hat,helmet,hat,cap
257,524375,524375000,Is this a cow farm?,yes,yes,yes,yes,yes,yes,yes,no,no,yes
258,524375,524375001,What are the animals doing?,grazing,grazing,grazing,50,grazing,eating,grazing,grazing,grazing,grazing
259,524375,524375002,What breed of livestock is shown?,sheep,sheep,cows,sheep,goat,sheep,cows,unknown,cow,sheep
260,524375,524375003,How many black sheep are there?,10,5,10,0,4,4,19,around 6,12,3
261,524375,524375004,What game would you play when you saw this as a child?,count sheep,patty cake,none,frisbee,tag,counting sheep,running,rolling down hill,king of hill,tag
262,524375,524375005,Where is the human?,hilltop,on top of hill,on top of hill,on hill,hill,on hill,far back,top of hill,hill,standing on horizon
263,524375,524375006,Is this a prairie?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
264,524375,524375007,Is there a village in the background?,no,no,no,no,no,no,no,no,no,no
265,131160,131160000,What color is the sign?,white,white,white and brown,white and brown,white,white,white and brown,white,brown and white,white
266,131160,131160001,Would you be able to find a mosque in this city?,yes,yes,yes,no,yes,no,yes,yes,yes,yes
267,131160,131160002,What language is the sign written in?,spanish,russian,german,arab,hebrew,spanish,iranian,african,english,spanish
268,524377,524377000,How has the cheese been prepared?,melted,melted,melted,yes,creamy,melted,grilled,melted,melted,melted
269,524377,524377001,Is there ketchup?,no,no,no,no,no,no,no,no,no,no
270,524377,524377002,How many lunches is this?,1,1,1,1,1,hot dogs,1,1,1,1
271,524377,524377003,Is the hotdog well seasoned?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
272,524377,524377004,What kind of food is shown?,hot dog,carrot fries and dog,"sweet potato fries, dip, hot dog on bun",hot dog,hot dog,"hot dog, bacon",hot dog,hot dog and fries,hot dog,hot dog
